gene_id	gene_symbol	baseline_expression	true_log2_fold_change	is_differential	batch_log2_shift	gene_sets
ENSG00000000102	MRPL211	73.36	0.0	0	-0.0416	ANGIOGENESIS;TGF_BETA_SIGNALING
ENSG00000000103	TET674	59.03	0.0	0	-0.0853	
ENSG00000000104	CHRM444	0.38	0.0	0	-0.1497	
ENSG00000000105	EIF472	20.86	0.0	0	0.9457	
ENSG00000000106	HIST1H896	1317.71	0.0	0	-1.3383	ANGIOGENESIS
ENSG00000000107	ARID635	633.09	0.0	0	-0.8513	OXIDATIVE_PHOSPHORYLATION;PI3K_AKT_MTOR_SIGNALING
ENSG00000000108	TIMM230	48.42	0.0	0	0.0255	INTERFERON_GAMMA_RESPONSE;ESTROGEN_RESPONSE
ENSG00000000109	ABC712	3.02	0.0	0	0.0112	
ENSG00000000110	TUBB820	9.77	0.0	0	0.8538	
ENSG00000000111	GRIN336	1113.17	0.0	0	0.7116	HEDGEHOG_SIGNALING
ENSG00000000112	MYO215	11.27	0.0	0	-0.2261	
ENSG00000000113	ADRB857	43.72	0.0	0	0.1517	FATTY_ACID_METABOLISM;HYPOXIA;NOTCH_SIGNALING
ENSG00000000114	ABC30	487.83	0.0	0	-0.7354	
ENSG00000000115	ACTN22	24.91	0.0	0	0.5341	
ENSG00000000116	CCNB307	1032.53	0.0	0	-1.2774	
ENSG00000000117	TWIST1	56.09	2.8621	1	-0.3918	AUTOPHAGY;HYPOXIA;WNT_BETA_CATENIN_SIGNALING
ENSG00000000118	PPP2R1	42.28	0.0	0	0.223	
ENSG00000000119	RAB11FIP96	20.05	0.0	0	0.3676	
ENSG00000000120	SPTB777	199.42	0.0	0	-0.3708	CELL_CYCLE_G2M_CHECKPOINT;REACTIVE_OXYGEN_SPECIES
ENSG00000000121	DNMT130	605.75	0.0	0	-1.638	
ENSG00000000122	HTR47	670.27	0.0	0	-0.0241	
ENSG00000000123	CDC730	9.59	0.0	0	0.6635	
ENSG00000000124	BRD617	656.03	0.0	0	-0.612	INTERFERON_ALPHA_RESPONSE
ENSG00000000125	PLC398	2.77	0.0	0	1.5376	FATTY_ACID_METABOLISM;ADIPOGENESIS
ENSG00000000126	CACN205	79.01	0.0	0	1.4628	INTERFERON_ALPHA_RESPONSE;HYPOXIA;E2F_TARGETS
ENSG00000000127	CYP745	10.07	0.0	0	-1.0396	AUTOPHAGY;EPITHELIAL_MESENCHYMAL_TRANSITION;EXTRACELLULAR_MATRIX_ORGANIZATION
ENSG00000000128	H2AF321	35.95	0.0	0	-0.4955	ESTROGEN_RESPONSE
ENSG00000000129	TRIM266	167.36	0.0	0	0.3847	UNFOLDED_PROTEIN_RESPONSE
ENSG00000000130	CHRM632	3.19	0.0	0	-0.6702	EXTRACELLULAR_MATRIX_ORGANIZATION
ENSG00000000131	TLN571	1.47	0.0	0	-0.5682	
ENSG00000000132	ANAPC709	104.05	0.0	0	-0.3429	
ENSG00000000133	UBE2859	22.94	0.0	0	-2.336	INTERFERON_ALPHA_RESPONSE
ENSG00000000134	ZNF426	17.86	0.0	0	-0.6235	
ENSG00000000135	OR781	0.45	0.0	0	-0.8132	
ENSG00000000136	PXN717	675.89	0.0	0	0.5775	EPITHELIAL_MESENCHYMAL_TRANSITION
ENSG00000000137	KMT2856	32.67	0.0	0	-0.5887	
ENSG00000000138	SPTB396	39.12	0.0	0	0.1766	ANGIOGENESIS;MAPK_SIGNALING
ENSG00000000139	ADAM88	95.47	0.0	0	0.6845	
ENSG00000000140	KRT11	30.89	0.0	0	-1.0297	
ENSG00000000141	FBXO589	38.74	0.0	0	0.6957	MYOGENESIS
ENSG00000000142	DNMT272	10.38	0.0	0	0.9409	INTERFERON_ALPHA_RESPONSE
ENSG00000000143	ATAD65	117.01	0.0	0	2.2436	
ENSG00000000144	TOMM863	163.59	0.0	0	0.1701	APOPTOSIS;ANDROGEN_RESPONSE
ENSG00000000145	MAPK614	16.54	0.0	0	-0.0737	COAGULATION
ENSG00000000146	ADAM256	3.2	0.0	0	1.6245	EXTRACELLULAR_MATRIX_ORGANIZATION
ENSG00000000147	PXN634	6.51	0.0	0	0.0893	
ENSG00000000148	ATAD646	52.48	0.0	0	0.2929	COAGULATION
ENSG00000000149	PPP2R239	16.31	0.0	0	1.2813	EPITHELIAL_MESENCHYMAL_TRANSITION;REACTIVE_OXYGEN_SPECIES
ENSG00000000150	RHO731	11.21	0.0	0	-0.1782	
ENSG00000000151	DRD287	90.67	0.0	0	-0.5057	
ENSG00000000152	UBE2806	30.07	0.0	0	-0.5857	IL6_JAK_STAT3_SIGNALING
ENSG00000000153	PRKC117	7.6	0.0	0	-1.8248	
ENSG00000000154	TRIM616	8.67	0.0	0	0.3487	
ENSG00000000155	MRPL75	95.65	0.0	0	0.3856	
ENSG00000000156	MYO210	5325.6	0.0	0	0.8288	E2F_TARGETS;RIBOSOME_BIOGENESIS
ENSG00000000157	TRIM213	65.93	0.0	0	-0.0887	
ENSG00000000158	ARF786	5.54	0.0	0	0.6417	
ENSG00000000159	RAB552	44.42	0.0	0	-0.322	P53_SIGNALING;INTERFERON_ALPHA_RESPONSE
ENSG00000000160	PLC648	35.05	0.0	0	-0.8553	
ENSG00000000161	KIF535	46.61	0.0	0	0.588	XENOBIOTIC_METABOLISM
ENSG00000000162	CUL743	48.16	0.0	0	0.882	IL6_JAK_STAT3_SIGNALING;MRNA_SPLICING
ENSG00000000163	KRT268	5.82	0.0	0	-0.3565	MAPK_SIGNALING
ENSG00000000164	PLC322	1.11	0.0	0	0.6667	
ENSG00000000165	DUSP295	43.44	0.0	0	0.1116	UNFOLDED_PROTEIN_RESPONSE;SPERMATOGENESIS
ENSG00000000166	ANK591	16.18	0.0	0	-0.6873	INTERFERON_ALPHA_RESPONSE;REACTIVE_OXYGEN_SPECIES
ENSG00000000167	FBXO782	111.13	0.0	0	0.0149	NOTCH_SIGNALING
ENSG00000000168	GNA817	36.41	0.0	0	1.5796	AUTOPHAGY;EPITHELIAL_MESENCHYMAL_TRANSITION
ENSG00000000169	OR203	9.35	0.0	0	0.074	EXTRACELLULAR_MATRIX_ORGANIZATION
ENSG00000000170	RPS9	907.15	0.0	0	-0.5628	
ENSG00000000171	CYP95	4.63	0.0	0	-0.9109	
ENSG00000000172	TRIM332	5.32	0.0	0	0.7856	
ENSG00000000173	DYNC835	101.22	0.0	0	0.101	P53_SIGNALING;PI3K_AKT_MTOR_SIGNALING
ENSG00000000174	CCNB746	86.62	-1.7527	1	2.0211	DNA_REPAIR;IL6_JAK_STAT3_SIGNALING
ENSG00000000175	ARID518	283.1	0.0	0	1.33	HEDGEHOG_SIGNALING
ENSG00000000176	EIF668	15.05	0.0	0	-1.5076	COAGULATION
ENSG00000000177	ANK154	28.45	0.0	0	-0.5368	CELL_CYCLE_G2M_CHECKPOINT
ENSG00000000178	RPS399	1.94	0.0	0	-0.1943	WNT_BETA_CATENIN_SIGNALING
ENSG00000000179	VCL884	6.78	0.0	0	-0.193	
ENSG00000000180	DUSP23	23.47	0.0	0	0.1903	
ENSG00000000181	PRKC521	13.9	0.0	0	-0.4887	
ENSG00000000182	KIF747	51.12	0.0	0	-0.1897	MAPK_SIGNALING;ESTROGEN_RESPONSE
ENSG00000000183	GNA145	112.52	0.0	0	-0.2811	MAPK_SIGNALING;ADIPOGENESIS;REACTIVE_OXYGEN_SPECIES
ENSG00000000184	ARF141	6842.83	0.0	0	-0.446	
ENSG00000000185	MYO304	5.48	0.0	0	-0.4659	
ENSG00000000186	BRD796	516.99	0.0	0	0.9022	XENOBIOTIC_METABOLISM
ENSG00000000187	CCNB433	96.87	0.0	0	0.2975	CELL_CYCLE_G2M_CHECKPOINT
ENSG00000000188	RNF521	91.88	0.0	0	1.1106	
ENSG00000000189	RPS829	2.29	0.0	0	-1.2041	PEROXISOME
ENSG00000000190	KCN347	59.72	0.0	0	0.1241	
ENSG00000000191	GABR336	7.34	0.0	0	1.1956	ADIPOGENESIS
ENSG00000000192	SEC164	11.24	0.0	0	1.9775	
ENSG00000000193	KIF738	28.92	0.0	0	-0.5687	MRNA_SPLICING
ENSG00000000194	SKP801	26.87	0.0	0	-0.4534	EXTRACELLULAR_MATRIX_ORGANIZATION
ENSG00000000195	SCN317	29.87	0.0	0	-0.5975	AUTOPHAGY
ENSG00000000196	MYO138	13.78	0.0	0	-0.2213	UNFOLDED_PROTEIN_RESPONSE
ENSG00000000197	VPS325	170.56	0.0	0	-0.171	CELL_CYCLE_G2M_CHECKPOINT;COMPLEMENT_CASCADE;NOTCH_SIGNALING
ENSG00000000198	SCN600	7.99	0.0	0	0.1208	
ENSG00000000199	DUSP434	62.92	0.0	0	-1.1413	EPITHELIAL_MESENCHYMAL_TRANSITION;WNT_BETA_CATENIN_SIGNALING
ENSG00000000200	KDM332	177.09	0.0	0	0.2518	INTERFERON_GAMMA_RESPONSE
ENSG00000000201	ADRB72	393.34	0.0	0	1.5433	HYPOXIA
ENSG00000000202	UGT786	303.0	0.0	0	-1.1268	
ENSG00000000203	TMEM169	14.92	0.0	0	0.4761	
ENSG00000000204	RNF188	31.02	0.0	0	-0.7619	
ENSG00000000205	USP76	42.0	0.0	0	-0.7926	
ENSG00000000206	TRIM30	1827.68	0.0	0	-0.6626	PI3K_AKT_MTOR_SIGNALING;MAPK_SIGNALING
ENSG00000000207	RAB807	52.02	-1.4505	1	-0.5962	INFLAMMATORY_RESPONSE
ENSG00000000208	RNF373	25.52	0.0	0	0.0972	EPITHELIAL_MESENCHYMAL_TRANSITION
ENSG00000000209	NLRP3	111.99	2.2138	1	-0.3366	ESTROGEN_RESPONSE
ENSG00000000210	DHX158	27.74	0.0	0	1.4359	
ENSG00000000211	MMP214	108.97	0.0	0	-1.4226	
ENSG00000000212	ANAPC246	2.51	0.0	0	-0.0522	
ENSG00000000213	ADRB842	3.08	0.0	0	0.9624	
ENSG00000000214	BRCA1	52.88	-2.1808	1	-0.7115	
ENSG00000000215	TET70	10.93	0.0	0	1.3543	CHOLESTEROL_HOMEOSTASIS;PROTEIN_SECRETION
ENSG00000000216	SNX222	5.51	0.0	0	0.8413	TGF_BETA_SIGNALING
ENSG00000000217	KMT2691	91.62	0.0	0	-0.6572	XENOBIOTIC_METABOLISM
ENSG00000000218	CDKN2A	8.89	0.0	0	0.0594	E2F_TARGETS
ENSG00000000219	PLC723	27.26	0.0	0	-0.0045	
ENSG00000000220	ARF711	59.43	0.0	0	1.2794	
ENSG00000000221	PPP2R36	2184.28	0.0	0	0.6351	
ENSG00000000222	SEC615	39.15	0.0	0	-0.9505	FATTY_ACID_METABOLISM
ENSG00000000223	TMEM259	4.73	0.0	0	-0.2739	TGF_BETA_SIGNALING;MAPK_SIGNALING
ENSG00000000224	HIST1H330	7.31	0.0	0	-1.1137	
ENSG00000000225	ADAM372	18.19	0.0	0	0.3921	
ENSG00000000226	ANAPC229	219.58	0.0	0	0.7399	
ENSG00000000227	GABR814	11.94	0.0	0	1.8795	
ENSG00000000228	KMT2477	1.01	0.0	0	-0.9101	
ENSG00000000229	RPL621	1751.41	-1.597	1	0.8403	DNA_REPAIR
ENSG00000000230	TOMM292	455.22	0.0	0	1.0761	GLYCOLYSIS;ESTROGEN_RESPONSE
ENSG00000000231	CDC83	427.69	0.0	0	0.8218	AUTOPHAGY;XENOBIOTIC_METABOLISM
ENSG00000000232	KDM642	1.25	0.0	0	-0.3982	TGF_BETA_SIGNALING;REACTIVE_OXYGEN_SPECIES;XENOBIOTIC_METABOLISM
ENSG00000000233	COL515	6.81	0.0	0	0.3859	TGF_BETA_SIGNALING
ENSG00000000234	PPP2R227	2.3	0.0	0	0.7763	APOPTOSIS
ENSG00000000235	PLC743	61.75	0.0	0	-0.3652	
ENSG00000000236	PPP2R721	46.52	0.0	0	1.1396	CELL_CYCLE_G2M_CHECKPOINT
ENSG00000000237	FBXO293	3002.02	0.0	0	1.336	WNT_BETA_CATENIN_SIGNALING;REACTIVE_OXYGEN_SPECIES
ENSG00000000238	VPS401	12.45	0.0	0	-0.6043	
ENSG00000000239	MAPK713	494.07	0.0	0	0.1252	
ENSG00000000240	SNX860	5.24	0.0	0	0.9076	
ENSG00000000241	PXN453	165.07	0.0	0	-0.7948	ANGIOGENESIS;EXTRACELLULAR_MATRIX_ORGANIZATION
ENSG00000000242	GNA659	659.38	0.0	0	0.0835	
ENSG00000000243	COL341	7.9	0.0	0	-0.8926	
ENSG00000000244	ATAD79	30.18	0.0	0	0.6949	SPERMATOGENESIS
ENSG00000000245	TOMM503	21.04	0.0	0	0.1464	
ENSG00000000246	RPS736	51.63	0.0	0	-0.304	PEROXISOME
ENSG00000000247	GRIN753	20.66	0.0	0	1.1074	APOPTOSIS;SPERMATOGENESIS
ENSG00000000248	ATAD158	23.69	0.0	0	0.2209	
ENSG00000000249	GRIN309	0.35	0.0	0	0.352	COMPLEMENT_CASCADE
ENSG00000000250	RPL10	10296.63	0.0	0	0.3347	
ENSG00000000251	PRKC481	184.89	0.0	0	-0.5672	ANDROGEN_RESPONSE
ENSG00000000252	SLC807	41.96	0.0	0	0.6334	
ENSG00000000253	GNA598	205.17	0.0	0	0.8026	UNFOLDED_PROTEIN_RESPONSE;ADIPOGENESIS
ENSG00000000254	MYO621	9.11	0.0	0	-0.0954	
ENSG00000000255	MAPK386	110.98	0.0	0	-0.1974	
ENSG00000000256	BID	50.94	2.6487	1	-0.6993	TNFA_SIGNALING_VIA_NFKB
ENSG00000000257	CCNB138	0.17	0.0	0	0.7149	
ENSG00000000258	SIRT389	24.63	0.0	0	-1.5976	
ENSG00000000259	GNA76	230.67	0.0	0	0.6727	
ENSG00000000260	TIMM841	179.84	0.0	0	0.3989	CELL_CYCLE_G2M_CHECKPOINT;MYOGENESIS
ENSG00000000261	HDAC345	7.12	0.0	0	-2.2121	HEDGEHOG_SIGNALING
ENSG00000000262	EZH84	24.99	0.0	0	1.1934	NOTCH_SIGNALING
ENSG00000000263	KMT2336	444.93	0.0	0	-1.2892	
ENSG00000000264	RPS698	15.0	0.0	0	0.158	NOTCH_SIGNALING
ENSG00000000265	RNF768	682.7	0.0	0	-0.8438	
ENSG00000000266	KRT730	5.33	0.0	0	-0.2572	HEDGEHOG_SIGNALING;REACTIVE_OXYGEN_SPECIES
ENSG00000000267	KIF281	43.08	0.0	0	0.3676	
ENSG00000000268	PALB2	189.19	-1.5595	1	-0.5236	CHOLESTEROL_HOMEOSTASIS;INTERFERON_GAMMA_RESPONSE;TNFA_SIGNALING_VIA_NFKB
ENSG00000000269	SNX24	42.23	0.0	0	0.6286	
ENSG00000000270	ANK332	19.3	0.0	0	1.7598	
ENSG00000000271	VCL360	177.68	0.0	0	-0.1352	
ENSG00000000272	TRIM434	3.68	0.0	0	-0.548	
ENSG00000000273	FZD7	46.26	0.0	0	-0.843	
ENSG00000000274	EZH51	44.93	0.0	0	0.9182	ANDROGEN_RESPONSE
ENSG00000000275	SCN251	56.02	0.0	0	-0.58	
ENSG00000000276	PTCH1	32.61	0.0	0	0.3497	P53_SIGNALING
ENSG00000000277	TRIM364	18.61	0.0	0	0.6	HEDGEHOG_SIGNALING
ENSG00000000278	DDX154	26.32	0.0	0	1.9712	
ENSG00000000279	SLC696	9.73	0.0	0	-0.4291	
ENSG00000000280	TRIM685	14.01	0.0	0	0.5838	
ENSG00000000281	BRD707	13.47	0.0	0	-1.0179	
ENSG00000000282	ABC59	37.78	0.0	0	0.5967	
ENSG00000000283	ATAD163	1.68	0.0	0	-0.4337	
ENSG00000000284	DYNC780	256.96	0.0	0	0.2676	ESTROGEN_RESPONSE
ENSG00000000285	PRKC210	57.58	0.0	0	0.1695	FATTY_ACID_METABOLISM;CELL_CYCLE_G2M_CHECKPOINT
ENSG00000000286	KIF757	86.37	0.0	0	0.4009	CHOLESTEROL_HOMEOSTASIS
ENSG00000000287	ANK441	6.92	0.0	0	-0.4666	CHOLESTEROL_HOMEOSTASIS;APOPTOSIS
ENSG00000000288	DRD6	5.86	0.0	0	-0.4947	
ENSG00000000289	RPL398	60.29	0.0	0	-0.1849	OXIDATIVE_PHOSPHORYLATION;TNFA_SIGNALING_VIA_NFKB
ENSG00000000290	PPP2R767	822.78	0.0	0	-0.1028	
ENSG00000000291	SPTB867	15.82	0.0	0	0.1727	
ENSG00000000292	SLC639	1617.43	0.0	0	0.2669	
ENSG00000000293	TET290	33.83	1.8288	1	0.1946	DNA_REPAIR
ENSG00000000294	ADRB887	23.71	0.0	0	0.5378	MYOGENESIS
ENSG00000000295	PXN69	70.04	0.0	0	-1.141	UNFOLDED_PROTEIN_RESPONSE
ENSG00000000296	ANAPC653	151.14	0.0	0	-0.6416	OXIDATIVE_PHOSPHORYLATION;HEDGEHOG_SIGNALING;MAPK_SIGNALING
ENSG00000000297	SKP13	4.29	0.0	0	0.3248	
ENSG00000000298	MRPS618	11.17	0.0	0	-0.5331	
ENSG00000000299	ZNF52	1240.48	0.0	0	1.7946	GLYCOLYSIS;PI3K_AKT_MTOR_SIGNALING
ENSG00000000300	SCN138	245.33	-1.2415	1	0.3912	
ENSG00000000301	KIF110	60.02	0.0	0	0.2031	
ENSG00000000302	FBXO845	23.75	0.0	0	-0.8023	
ENSG00000000303	PPP1R839	142.97	0.0	0	0.9038	
ENSG00000000304	OR798	77.15	0.0	0	0.5601	SPERMATOGENESIS
ENSG00000000305	SCN870	118.43	0.0	0	-0.3663	
ENSG00000000306	HTR214	901.38	0.0	0	-0.6051	
ENSG00000000307	RPS854	142.04	0.0	0	0.2313	
ENSG00000000308	SUZ4	9.18	0.0	0	0.0193	
ENSG00000000309	ANAPC228	37.26	0.0	0	-0.392	WNT_BETA_CATENIN_SIGNALING
ENSG00000000310	VCL821	60.54	1.7829	1	-0.0441	DNA_REPAIR;PROTEIN_SECRETION
ENSG00000000311	BRD193	9351.5	0.0	0	-0.7517	INFLAMMATORY_RESPONSE
ENSG00000000312	SUZ848	1.45	0.0	0	-0.4924	
ENSG00000000313	DRD171	98.67	0.0	0	1.5366	ADIPOGENESIS
ENSG00000000314	ZNF857	9.91	0.0	0	-0.0583	INTERFERON_GAMMA_RESPONSE
ENSG00000000315	RPS794	68.85	0.0	0	-0.2464	CHOLESTEROL_HOMEOSTASIS
ENSG00000000316	HDAC865	6.14	0.0	0	-0.0436	
ENSG00000000317	SPTB624	160.03	0.0	0	0.6028	CHOLESTEROL_HOMEOSTASIS;PROTEIN_SECRETION
ENSG00000000318	ZNF307	0.8	0.0	0	0.9928	OXIDATIVE_PHOSPHORYLATION
ENSG00000000319	COPB876	21.94	0.0	0	0.6557	IL6_JAK_STAT3_SIGNALING
ENSG00000000320	CDC660	11.73	0.0	0	-0.036	
ENSG00000000321	RAB829	11.33	0.0	0	-0.5914	PROTEIN_SECRETION;RIBOSOME_BIOGENESIS
ENSG00000000322	ANAPC565	178.88	0.0	0	0.0022	
ENSG00000000323	SPTB623	318.61	0.0	0	0.8826	
ENSG00000000324	SLC615	5.28	0.0	0	-0.9706	
ENSG00000000325	CYP820	50.82	0.0	0	-0.0442	
