gene_id	gene_symbol	mean_expression	log2_fold_change	t_statistic	pvalue	padj
ENSG00000003503	SLC16A1	10.0437	2.4173	10.8162	7.1870467105334e-08	1.4478440192059264e-05
ENSG00000000837	ZEB2	7.8423	-2.0238	-10.5916	9.1989059905982e-08	1.7048639102575332e-05
ENSG00000002701	NDUFA1	9.0545	2.5164	10.2794	1.3057146045537374e-07	2.309927836783248e-05
ENSG00000000062	EIF120	7.728	-1.7255	-10.2298	1.381471039657142e-07	2.337689254932868e-05
ENSG00000003353	TSC1	6.8473	-2.1941	-10.1589	1.4980406186269074e-07	2.4032830584064972e-05
ENSG00000002498	NDUFS1	8.2484	2.2521	10.1327	1.5437326942487776e-07	2.4032830584064972e-05
ENSG00000001060	AXIN2	10.7206	2.4409	10.0154	1.7673236395268807e-07	2.645547540399469e-05
ENSG00000001333	CD19	8.1532	2.3721	9.8351	2.1813590804879423e-07	3.144388718984841e-05
ENSG00000002143	TAZ	5.8257	-2.8569	-9.6333	2.770514851454755e-07	3.85101564352211e-05
ENSG00000003615	NFE2L2	4.6954	-2.8679	-9.4203	3.581432884706123e-07	4.806529926646976e-05
ENSG00000002441	TGFBR1	6.7935	-2.4429	-9.3253	4.0210941035149794e-07	5.2166994169601e-05
ENSG00000003832	GSR	6.2172	3.779	9.0652	5.548922415169457e-07	6.966582593496622e-05
ENSG00000003299	RPL630	6.078	-1.8597	-8.9451	6.453272985761714e-07	7.387099547230762e-05
ENSG00000003407	XRCC1	8.6383	2.6059	8.9461	6.444422910253248e-07	7.387099547230762e-05
ENSG00000001064	G6PD	5.5611	2.0986	8.9556	6.368192241036324e-07	7.387099547230762e-05
ENSG00000002470	LDHA	7.0481	-2.0658	-8.8863	6.951599112680917e-07	7.73017821330118e-05
ENSG00000002452	SIRT1	6.4997	-1.9381	-8.5145	1.122853555314971e-06	0.00012139294548016297
ENSG00000002379	USP194	8.0479	-1.6002	-8.4547	1.21469278702117e-06	0.00012356853309216547
ENSG00000004060	MMP9	9.427	2.7516	8.4771	1.1792854983214642e-06	0.00012356853309216547
ENSG00000003104	FLT1	8.459	2.0321	8.4401	1.2382252802144023e-06	0.00012356853309216547
ENSG00000000659	KEAP1	8.675	2.6883	8.4186	1.273896627605316e-06	0.00012395014186599725
ENSG00000002131	HNF4A	10.0353	1.6182	8.3634	1.3703112103681767e-06	0.0001300792983110474
ENSG00000003390	KRAS	6.9624	2.311	8.0316	2.1416551482855866e-06	0.00019367594535586955
ENSG00000000856	SLC457	7.5942	-2.384	-8.0154	2.1895533390694398e-06	0.00019367594535586955
ENSG00000000581	ACTA2	8.1222	2.6609	8.0482	2.0937136641798276e-06	0.00019367594535586955
ENSG00000002856	SOD2	6.9475	2.3293	7.9578	2.369492981595427e-06	0.0002004797105297696
ENSG00000001011	KIF53	10.7856	1.7394	7.9683	2.3353847017912978e-06	0.0002004797105297696
ENSG00000002491	IL10	6.3656	2.6948	7.9365	2.4396516236150222e-06	0.00020202391742786527
ENSG00000000349	CASP8	7.3122	-2.7304	-7.9107	2.528111699082945e-06	0.00020498772360064211
ENSG00000001212	TUBB851	9.1912	1.9851	7.7277	3.260518291311502e-06	0.00025897830999559927
ENSG00000000268	PALB2	6.4148	-1.7671	-7.6621	3.574906852987513e-06	0.000278270749436548
ENSG00000002263	KIF679	7.7177	1.3154	7.6465	3.654666216037914e-06	0.000278901194369011
ENSG00000004062	ID2	5.958	-1.6343	-7.5173	4.390075488594969e-06	0.0003256767806596423
ENSG00000000824	RNF51	6.1014	-1.8818	-7.5102	4.434961298808079e-06	0.0003256767806596423
ENSG00000003278	SOD1	8.032	3.047	7.4572	4.784072697724686e-06	0.0003448076099915644
ENSG00000000932	ANK809	8.3453	2.1519	7.3727	5.4030573237416446e-06	0.00038233998370913605
ENSG00000003382	COL1A1	7.3012	2.1432	7.2287	6.661802852396293e-06	0.00046299529824154236
ENSG00000001837	KRT581	5.1883	-2.153	-7.0529	8.633905514977202e-06	0.0005895291274437065
ENSG00000001434	CASP9	7.4552	-2.3285	-7.0084	9.224393346889364e-06	0.0006189886018291966
ENSG00000003169	CHEK2	4.8548	-2.5174	-6.9496	1.0072399557724598e-05	0.0006644369335366803
ENSG00000001739	SMARC18	6.4706	2.0576	6.8416	1.1853675485438071e-05	0.000765510629224742
ENSG00000002064	SMARC187	10.3285	1.5651	6.8336	1.1997982626595393e-05	0.000765510629224742
ENSG00000000229	RPL621	10.2165	-1.8853	-6.8147	1.2345818578029963e-05	0.0007749988049305261
ENSG00000000293	TET290	5.7098	2.2698	6.7491	1.3643020826867157e-05	0.0008428355088597933
ENSG00000003903	UQCRC1	7.1288	-2.61	-6.6891	1.4953763559577261e-05	0.0008968527525274508
ENSG00000001689	ABC501	8.6064	1.4121	6.688	1.4978270532961025e-05	0.0008968527525274508
ENSG00000002378	TGFB1	9.0832	1.7907	6.6509	1.5858162246226856e-05	0.0009351510221562867
ENSG00000003189	RPS385	8.3667	1.4863	6.6117	1.6845821919912697e-05	0.000978566252422391
ENSG00000003816	MSH2	8.607	1.7599	6.5731	1.7882047088946243e-05	0.0010086511198576635
ENSG00000002784	THRB	7.2158	2.0772	6.5798	1.7698538220387128e-05	0.0010086511198576635
ENSG00000002948	SMAD2	7.5769	2.1438	6.5328	1.9037682766066457e-05	0.001048013618292339
ENSG00000001866	APC	8.3272	1.5211	6.5301	1.911843959371944e-05	0.001048013618292339
ENSG00000003924	JAK1	5.3274	-2.5911	-6.515	1.957341347184898e-05	0.0010519778104479233
ENSG00000003462	ESR1	6.6892	2.1349	6.5011	2.0001633600500087e-05	0.0010519778104479233
ENSG00000000088	SIRT505	7.0379	2.1599	6.5094	1.974495863114124e-05	0.0010519778104479233
ENSG00000002392	MMP438	6.7908	1.7857	6.4679	2.1065445433705724e-05	0.0010931561817064358
ENSG00000001081	SKP377	5.6026	-1.3146	-6.4482	2.172646140428224e-05	0.00111262352349298
ENSG00000003842	MRPL474	6.9841	-1.8098	-6.3765	2.4317559431569372e-05	0.0012291420949047793
ENSG00000002276	HDAC429	5.7379	-1.7303	-6.2493	2.9750680331387534e-05	0.0014656917449336745
ENSG00000000955	CDH2	8.7473	1.7159	6.257	2.9386716778059632e-05	0.0014656917449336745
ENSG00000001814	CTGF	5.4179	-2.5433	-6.1187	3.66810320430506e-05	0.0017845322088944119
ENSG00000001307	VIM	7.9879	1.9875	6.0369	4.1871868527514095e-05	0.0019890658476328722
ENSG00000001909	WNT5A	3.6275	-2.5014	-6.0364	4.190734828003482e-05	0.0019890658476328722
ENSG00000000354	ADRB12	6.875	2.5572	5.9794	4.597730760031396e-05	0.00215594796602918
ENSG00000000732	NOTCH2	4.9699	-1.9561	-5.9208	5.0603548952393e-05	0.0023446311014608755
ENSG00000003092	RAB11FIP173	5.7722	1.871	5.9056	5.1879937921754296e-05	0.0023754908046055025
ENSG00000003166	GNA611	10.6285	-1.4155	-5.8756	5.4509050336809376e-05	0.0024384968265616334
ENSG00000003139	SDHB	6.5252	3.0268	5.8794	5.4162590545271864e-05	0.0024384968265616334
ENSG00000000832	SEC619	5.2893	-1.8076	-5.8451	5.7319451434660315e-05	0.0025065989324011004
ENSG00000003417	HNF1A	6.2526	2.9864	5.8476	5.7081014825189556e-05	0.0025065989324011004
ENSG00000002070	MAPK339	7.1102	1.9785	5.7673	6.519951197229648e-05	0.0027885329735843722
ENSG00000002252	NR3C1	7.1022	-1.5693	-5.7716	6.473309568152397e-05	0.0027885329735843722
ENSG00000003178	SLC2A1	9.0709	1.4078	5.7077	7.199353513704004e-05	0.0030456395516669545
ENSG00000000793	YAP1	8.6093	1.9557	5.6312	8.184135224351247e-05	0.003425016590663984
ENSG00000002160	ID1	4.1957	-3.4315	-5.5916	8.747822822993131e-05	0.003621970896498858
ENSG00000001498	PGR	5.9771	2.306	5.5725	9.034258486994346e-05	0.003701193055934947
ENSG00000003799	THBS1	3.9144	-2.0896	-5.5002	0.00010211623375125995	0.004139962309998997
ENSG00000003527	TLN562	12.1759	1.4328	5.458	0.00010971156843145862	0.0044020353024251235
ENSG00000001609	SLC7A11	4.6455	-2.2863	-5.4081	0.00011948134079128202	0.004745116105710915
ENSG00000001201	MRPL532	5.3845	-1.1783	-5.3509	0.00013179622503480657	0.005181322301368355
ENSG00000001234	CHRM219	9.0962	0.965	5.3323	0.00013607950693514945	0.0052962144099160165
ENSG00000002451	HDAC584	6.5768	1.5069	5.2716	0.00015109817145804596	0.005822515676383316
ENSG00000000174	CCNB746	6.2513	-1.7019	-5.2606	0.00015399697807419295	0.005876041555536853
ENSG00000002382	RPS68	9.7312	1.3104	5.2369	0.00016046798456158796	0.006063508698191265
ENSG00000002543	ZNF700	3.3532	-1.6878	-5.1854	0.00017550496466677687	0.006534151545304072
ENSG00000001101	LDHB	7.23	1.9069	5.1828	0.0001762810668697142	0.006534151545304072
ENSG00000002943	ADRB441	7.0392	1.3207	5.1564	0.00018460451186205163	0.006778120378934952
ENSG00000002129	GNA192	6.8321	-1.4889	-5.1362	0.00019123623965962446	0.006955994810796808
ENSG00000002612	ACO2	2.6166	-2.5767	-5.0938	0.00020597012528406452	0.007422553033384992
ENSG00000000348	KDR	3.5343	-1.7182	-5.0556	0.00022027879514911826	0.007865367621287781
ENSG00000001766	KMT2454	9.8201	0.9535	5.0395	0.0002266145803766672	0.00801803588023626
ENSG00000003020	SMAD4	6.0581	2.2983	4.9695	0.00025643962720937224	0.008991558820710602
ENSG00000002858	CACN792	6.7148	-1.2562	-4.9126	0.0002836772219935994	0.00985778346427758
ENSG00000003596	KCN832	7.6918	1.4937	4.8735	0.00030413270306087474	0.010428103006293165
ENSG00000003488	BRD723	5.2473	1.9001	4.8711	0.0003054480325584329	0.010428103006293165
ENSG00000003687	TNF	8.0267	-1.278	-4.8413	0.0003220942688481545	0.010900790385713195
ENSG00000002759	TSC2	6.2774	1.6075	4.8063	0.00034293993844173145	0.011407882396711273
ENSG00000003314	ARID74	4.4187	-2.3355	-4.8064	0.0003428713085661143	0.011407882396711273
ENSG00000004108	BIRC5	6.0265	2.304	4.7637	0.00037020762941505756	0.012129131690223722
ENSG00000004153	GRIN9	8.2373	-1.2338	-4.7627	0.0003708547459241066	0.012129131690223722
ENSG00000000214	BRCA1	4.0971	-2.0313	-4.7063	0.0004105372276810387	0.013315090751121689
ENSG00000001589	CCL2	5.4883	2.32	4.6921	0.0004211987414489046	0.013547979353050717
ENSG00000000207	RAB807	4.4702	-1.9685	-4.579	0.0005171091435016343	0.016496629397609514
ENSG00000002546	DHX301	6.2441	-2.0245	-4.5239	0.0005717231216206532	0.01809062105160636
ENSG00000001622	PPP2R890	11.9371	0.9604	4.502	0.0005951306120739729	0.01867942211445083
ENSG00000000300	SCN138	7.5143	-1.4462	-4.476	0.0006240948640760187	0.019277596912570354
ENSG00000000397	COPB747	5.1149	1.1513	4.4794	0.0006202687290181081	0.019277596912570354
ENSG00000000748	ZNF338	2.1665	-2.0635	-4.4446	0.000661133192899093	0.020260869187112365
ENSG00000002585	CXCL8	7.1966	2.1325	4.3996	0.0007182136514946171	0.021838183840758203
ENSG00000001280	KDM444	7.8978	0.9045	4.3771	0.000748583311615141	0.022585164719427352
ENSG00000000513	NQO1	5.6943	-1.1803	-4.3637	0.0007673813764797902	0.022974217825071874
ENSG00000003707	TRIM687	4.6622	-1.6459	-4.3173	0.0008360908984937813	0.02484019677051753
ENSG00000003955	PLC505	5.7352	1.1251	4.2982	0.0008661222165773251	0.025537482325143555
ENSG00000002624	MRPL673	6.7587	1.1194	4.2814	0.0008936383114808804	0.026028867509578512
ENSG00000003465	MAPK727	6.3143	1.2392	4.2782	0.0008988531450256962	0.026028867509578512
ENSG00000000831	RNF177	4.9085	-1.767	-4.2758	0.0009028512625367675	0.026028867509578512
ENSG00000000910	SNX45	1.438	1.5893	4.2666	0.0009185224755985001	0.02628595202227472
ENSG00000002600	JAK2	9.6814	-0.8093	-4.2551	0.0009381812736706126	0.026652565818438133
ENSG00000003378	DHX365	5.1418	-1.3849	-4.1576	0.0011250647848245186	0.03173008798939874
ENSG00000000817	CCNB672	2.1408	1.5365	4.1439	0.0011543763528472774	0.032322537879723764
ENSG00000003450	ARF433	8.996	1.1453	4.0735	0.0013169364336352227	0.03661083285505919
ENSG00000001657	SPTB516	8.5174	1.5262	4.0599	0.0013509500763141814	0.03729005458875741
ENSG00000000698	HTR743	6.4071	1.7572	3.9412	0.0016894168365080907	0.046304298082320346
ENSG00000002406	SLC548	9.3085	-1.2476	-3.9057	0.0018064349812058568	0.04916534927869367
ENSG00000000957	RPS6KB1	7.4283	1.7559	3.8655	0.0019495729363958776	0.05269262408647747
ENSG00000001737	JAG1	5.8407	2.0884	3.8609	0.0019666532665292657	0.0527876862988407
ENSG00000000074	UGT290	7.002	1.6791	3.8328	0.0020741340521565755	0.054972000421003815
ENSG00000001164	HTR301	9.253	-0.6585	-3.8322	0.0020762805914407915	0.054972000421003815
ENSG00000002048	ATAD627	6.6872	1.1639	3.8007	0.00220454119628142	0.05797347524275193
ENSG00000001778	PPP2R135	5.0622	0.9239	3.7727	0.0023249529698558817	0.060729644017980484
ENSG00000003735	PPP2R659	6.401	0.9927	3.7525	0.002416164913736838	0.06233792276840134
ENSG00000000310	VCL821	6.5347	1.5341	3.7519	0.0024185576408089935	0.06233792276840134
ENSG00000001090	SDHA	4.9479	-1.8758	-3.691	0.0027160758054324617	0.06954583575488908
ENSG00000001710	ADIPOQ	4.4042	-1.9669	-3.6657	0.0028504485067148816	0.07250944828845961
ENSG00000000877	VCL312	2.1137	-1.663	-3.6206	0.0031067493150788647	0.07800947312443188
ENSG00000003441	USP895	5.3521	1.4862	3.623	0.0030927501985105648	0.07800947312443188
ENSG00000004119	GABR69	3.1004	-1.1566	-3.5824	0.0033426429348722402	0.0833946557854023
ENSG00000000352	TOMM106	5.9968	1.8077	3.5771	0.0033766476501948276	0.08370645002903356
ENSG00000003053	SMARC305	4.4385	-1.554	-3.5522	0.003541704795810652	0.08724250041325986
ENSG00000002457	H2AF389	4.1146	-1.3737	-3.5481	0.00356946249821157	0.08737325813232345
ENSG00000002241	SIRT779	4.8837	1.3688	3.5397	0.0036269748024403514	0.08822616206936154
ENSG00000001927	HTR771	9.6009	0.6321	3.5087	0.0038494568562470813	0.09305643530753814
ENSG00000000773	BRAF	1.1088	-0.9845	-3.4975	0.003932935336555907	0.09448755759182462
ENSG00000002780	MRPL657	4.6737	1.373	3.4781	0.0040820879543107015	0.09746924121581135
ENSG00000003850	ANK320	6.7148	1.3738	3.4422	0.004373231204889792	0.10378424298433579
ENSG00000001462	ABC607	4.4176	-0.8973	-3.3439	0.005282630064331856	0.12416245188047517
ENSG00000003529	ADRB822	5.1886	0.9155	3.3395	0.005327628330945363	0.12416245188047517
ENSG00000002188	PXN63	2.445	-1.6926	-3.3419	0.005302228168245485	0.12416245188047517
ENSG00000003647	KRT271	7.5464	-1.1851	-3.3214	0.005515864475772926	0.12778419368873944
ENSG00000000643	TOMM70	1.7758	1.5153	3.3156	0.00557728305725232	0.12844251869127826
ENSG00000001035	VCL292	6.5886	0.8176	3.3117	0.005619538795464135	0.12865438230556714
ENSG00000003163	RAB11FIP122	8.2042	0.7855	3.3068	0.0056733128439968765	0.12912592742009266
ENSG00000002781	SPTB4	5.9594	-0.9833	-3.2686	0.0061058781388968865	0.13816324253829468
ENSG00000002568	VCL93	1.5188	1.5819	3.2483	0.006348730106149243	0.14282807845741535
ENSG00000003093	KDM500	6.2301	-0.6248	-3.2392	0.006461496586750277	0.1430258157641295
ENSG00000003345	EIF228	6.6303	1.3973	3.243	0.006413951976943477	0.1430258157641295
ENSG00000001148	HDAC126	4.5754	0.9407	3.2387	0.006467765563845528	0.1430258157641295
ENSG00000004019	CCNB72	2.218	1.1545	3.2254	0.006634985074526146	0.1458947000568122
ENSG00000000353	CEBPA	3.1211	-2.2039	-3.22	0.006704959622659043	0.14660507219881458
ENSG00000001004	CYP602	8.0389	0.8959	3.1934	0.007056234268147749	0.15342381995324603
ENSG00000000372	SIRT632	8.6085	0.7355	3.1674	0.007418305094589603	0.16040024126745964
ENSG00000001564	KRT743	7.4448	0.5897	3.1557	0.00758832296992337	0.1631699060715014
ENSG00000003065	GABR833	1.7326	-1.274	-3.1463	0.007727167932264838	0.1652425142438173
ENSG00000003857	GABR684	4.3696	1.0107	3.1412	0.007803443730350031	0.16556165579409876
ENSG00000000891	DNMT509	3.027	-1.6506	-3.1396	0.007827169749772397	0.16556165579409876
ENSG00000000780	BRD86	7.3156	0.8968	3.1263	0.008029216161891369	0.16891734757881735
ENSG00000001456	GNA792	6.6246	0.6997	3.1144	0.00821536488312076	0.17098502740698396
ENSG00000001449	GABR452	9.0935	0.6092	3.1146	0.008213192288406262	0.17098502740698396
ENSG00000003125	SNX213	7.2647	0.8178	3.1061	0.008347469641543863	0.17281038215366337
ENSG00000000411	EZH494	11.7569	0.4065	3.0674	0.008993571333377097	0.18422620857633507
ENSG00000001454	ARF722	2.3569	1.5218	3.068	0.008982629098511219	0.18422620857633507
ENSG00000001484	RPL670	5.5515	-1.1159	-3.0484	0.009329048104263814	0.1900976713182972
ENSG00000002548	CUL883	4.2649	-1.3942	-3.0296	0.00967154887291227	0.19591939516474002
ENSG00000003245	TRIM147	7.3359	0.8424	3.0273	0.009715427355291578	0.19591939516474002
ENSG00000002196	FBXO679	4.1077	1.2582	3.0028	0.01018366034001044	0.20430312393464245
ENSG00000000752	SPTB533	9.0588	0.4738	2.9998	0.010242604689874478	0.20443188437431523
ENSG00000002657	TLN828	7.5104	1.0351	2.9936	0.010365202690664339	0.20543574210890958
ENSG00000002250	PPP1R706	9.5307	0.6249	2.9893	0.010451253067205575	0.20543574210890958
ENSG00000002682	SMARC569	4.7827	1.6277	2.9917	0.010403470470105834	0.20543574210890958
ENSG00000003661	ABC613	4.588	-0.7221	-2.9822	0.010594778152462753	0.20636396478479221
ENSG00000001115	FBXO114	5.6293	1.4254	2.9792	0.010657542888423235	0.20636396478479221
ENSG00000002559	TUBB299	6.6538	1.0407	2.98	0.010641129090989878	0.20636396478479221
ENSG00000001326	GNA272	5.48	1.2751	2.9689	0.010869118732948822	0.20941886192394463
ENSG00000002272	ANK819	3.1659	1.7735	2.9621	0.011012897712461807	0.21114383200444017
ENSG00000003749	CDK6	6.0584	1.6631	2.9413	0.011462769572357827	0.21869166262557185
ENSG00000002830	COL618	2.8406	1.2091	2.9221	0.011893157647337905	0.22579594908994696
ENSG00000000019	GATA3	3.8077	-1.3222	-2.9191	0.011961124885709508	0.2259839711416573
ENSG00000001177	VCL715	4.6895	-1.0292	-2.9115	0.012136523801184119	0.2281900996821671
ENSG00000001668	TOMM459	4.6983	0.9346	2.909	0.012196002542267636	0.22820597064666173
ENSG00000001266	SEC722	10.0155	-0.3677	-2.9027	0.012343838556519778	0.2298670797223683
ENSG00000001075	SKP516	2.1997	1.3704	2.8837	0.01280183379375538	0.2372606529775997
ENSG00000000071	RNF636	5.4812	1.4669	2.873	0.013068166290145528	0.24104883033766064
ENSG00000002344	UGT698	3.1443	-1.4748	-2.8517	0.013613130476335973	0.24991652742405474
ENSG00000001142	SKP714	8.3498	0.8313	2.8326	0.014121299055346185	0.25026231726253007
ENSG00000002967	UBE2285	6.1359	-0.6558	-2.8456	0.013771818416704351	0.25026231726253007
ENSG00000000448	INS	1.7616	-1.2825	-2.8316	0.014146379701376314	0.25026231726253007
ENSG00000001548	SEC633	5.2531	-0.9434	-2.8434	0.013831945959190876	0.25026231726253007
ENSG00000003508	RNF113	1.5471	-1.2614	-2.8401	0.013917892676412675	0.25026231726253007
ENSG00000000377	DRD848	1.0713	1.3933	2.8422	0.013862845232075734	0.25026231726253007
ENSG00000003812	TRIM210	7.567	0.6248	2.8374	0.013990948275931465	0.25026231726253007
ENSG00000003375	ARID207	5.4038	0.8894	2.8351	0.014052477207002461	0.25026231726253007
ENSG00000000976	CCR7	6.359	1.2606	2.8163	0.014568342096580741	0.2565610291397839
ENSG00000001336	ACTN393	10.253	0.5935	2.7855	0.015451614285308604	0.26865698649762687
ENSG00000000457	EZH329	4.4897	-1.6229	-2.7855	0.015452553676827617	0.26865698649762687
ENSG00000002145	ADAM435	10.8948	0.3543	2.7852	0.015462272604179966	0.26865698649762687
ENSG00000000489	CACN451	3.2163	-1.3562	-2.7797	0.015625273770419886	0.2702825133976631
ENSG00000002098	ARF640	4.4037	-0.9843	-2.776	0.01573558190335987	0.27098621578706467
ENSG00000000890	EZH850	1.4679	-1.2346	-2.7684	0.015966198819078604	0.27374645728570013
ENSG00000000684	SIRT308	4.3439	1.0417	2.7634	0.0161197191406819	0.2751664337523419
ENSG00000003957	HDAC567	7.8413	-0.6099	-2.7509	0.016510781593266355	0.2793911389608376
ENSG00000000902	CACN607	9.0783	-0.4513	-2.7513	0.016497373646400332	0.2793911389608376
ENSG00000002127	VCL160	6.6965	-0.613	-2.7329	0.01708617657462583	0.28787618713612007
ENSG00000002059	VCL472	4.0667	-1.1334	-2.6919	0.018475359600730552	0.3099400843363936
ENSG00000003183	ARF659	1.8875	-1.4793	-2.6887	0.018589813718301016	0.3105216952430367
ENSG00000002383	OR411	4.0769	1.2086	2.6811	0.018860617455734318	0.31369881682785455
ENSG00000000575	EIF566	7.9681	-0.5344	-2.6771	0.019005578720695495	0.31476473353594414
ENSG00000001744	PPP1R889	5.8297	0.9348	2.6723	0.019181301118918182	0.31632891506283717
ENSG00000000995	CACN823	2.9495	-1.4038	-2.6688	0.019309157669265713	0.31709384661933393
ENSG00000002623	GABR22	2.197	1.5575	2.6561	0.01978005164570923	0.3233433485367544
ENSG00000001154	SEC827	6.6427	-0.8142	-2.6541	0.01985587366399905	0.3233433485367544
ENSG00000003579	CDC399	4.8775	0.8345	2.6471	0.02012419548318179	0.3249932316205126
ENSG00000001077	PPP1R769	4.1779	-1.0038	-2.6484	0.020072329525416054	0.3249932316205126
ENSG00000002930	DYNC440	2.7014	-1.6386	-2.6307	0.02075982552965903	0.3338728965348469
ENSG00000004023	SNX412	5.5138	-0.6812	-2.6222	0.021098873888031926	0.33792928877456896
ENSG00000003387	ANK564	2.6057	1.1905	2.6181	0.021261068721082653	0.3391314732067774
ENSG00000002316	KRT645	1.9543	-1.1002	-2.6156	0.02136247044977386	0.33935810200212185
ENSG00000001562	CACN266	1.4185	-0.9988	-2.6115	0.021531229622168833	0.3406485597133378
ENSG00000001722	SMARC627	7.5185	0.5915	2.5963	0.022162257891003307	0.34921258182908854
ENSG00000003331	TET256	9.8916	-0.5013	-2.5939	0.022262683517389706	0.34938050100677714
ENSG00000000299	ZNF52	11.0058	0.3965	2.59	0.02242558871359058	0.35052365973210653
ENSG00000002266	DUSP429	5.2189	-0.9658	-2.5816	0.022785884397276537	0.3537559251882128
ENSG00000001540	HTR264	6.772	-0.8653	-2.581	0.022814166809414546	0.3537559251882128
ENSG00000001168	ADAM229	6.8594	-0.7886	-2.5695	0.023315168637420402	0.35734294009544565
ENSG00000001753	OR553	5.2266	1.1598	2.5694	0.02332094213366989	0.35734294009544565
ENSG00000000225	ADAM372	3.9334	1.7284	2.5734	0.02314327559349917	0.35734294009544565
ENSG00000003826	UBE2551	10.944	-0.5636	-2.5663	0.023458777513514006	0.35777069605355705
ENSG00000003515	SLC521	5.1417	-0.8797	-2.5646	0.023532707654088027	0.35777069605355705
ENSG00000003670	TOMM419	8.667	-0.4177	-2.5604	0.023720371444419276	0.3592205667769643
ENSG00000002986	PPP2R563	6.2313	0.7218	2.54	0.024656190708738476	0.37050924416374575
ENSG00000000931	MRPL368	5.6288	0.768	2.5402	0.02464561782510779	0.37050924416374575
ENSG00000000661	PLC306	2.7835	-1.8915	-2.527	0.02526896229900456	0.37825692795279137
ENSG00000000541	ACTN195	7.8178	-0.4115	-2.5235	0.0254354052442466	0.37875396218621815
ENSG00000000866	GABR161	6.3436	-0.6231	-2.5222	0.02549679807111746	0.37875396218621815
ENSG00000002993	TET777	1.858	-1.4234	-2.5159	0.025804124940021583	0.3816387960769483
ENSG00000002540	RHO624	1.4539	1.6844	2.5142	0.025887112580759084	0.3816387960769483
ENSG00000002532	CHRM323	7.6609	0.5007	2.5019	0.026493331472569614	0.3817818877736196
ENSG00000000839	DRD805	8.7854	0.6066	2.5033	0.02642251786797921	0.3817818877736196
ENSG00000001880	RNF867	5.6745	-0.4958	-2.4943	0.02687775880009552	0.3817818877736196
ENSG00000002356	MRPL417	9.289	0.5832	2.4958	0.026799338020726746	0.3817818877736196
ENSG00000000983	PPP1R573	4.3405	-1.1948	-2.4985	0.02666158576957883	0.3817818877736196
ENSG00000001352	CDC26	5.1994	-0.8921	-2.5103	0.026076641686872428	0.3817818877736196
ENSG00000002116	TLN535	2.6801	-1.0865	-2.5	0.026589065232494016	0.3817818877736196
ENSG00000001334	MYO357	7.7758	0.5106	2.5078	0.02619905039597909	0.3817818877736196
ENSG00000003329	H2AF525	5.7155	-0.7245	-2.4975	0.02671563435987171	0.3817818877736196
ENSG00000001327	HK2	7.1696	-0.4344	-2.4965	0.026764660413280263	0.3817818877736196
ENSG00000002227	ZNF277	6.7081	-0.4977	-2.491	0.027041727927295294	0.3827142003383029
ENSG00000001694	VPS207	1.6868	-1.1192	-2.4854	0.027333067084508424	0.3840443938372086
ENSG00000002808	RNF326	7.6763	-0.448	-2.487	0.02724784949310848	0.3840443938372086
ENSG00000003461	SNX479	6.2117	-0.7212	-2.4815	0.027532443575430245	0.3840726537475789
ENSG00000003161	ATAD25	5.2934	0.8136	2.4817	0.027520121168026192	0.3840726537475789
ENSG00000002500	KRT386	2.3127	-1.5164	-2.4704	0.02811101618278183	0.3899181906899825
